Row,ALM,Striatum,Thalamus,Midbrain,Medulla
firing_rate,0.040331553,0.036951838,-0.013928861,0.010968995,0.008052118
presence_ratio,23.56112924,18.31877149,25.50426378,23.45587673,13.98476912
ISI_violation,-1.784727067,-0.612030813,-1.725747012,-2.401129419,-1.244864818
amplitude_cutoff,-20.94520225,-7.071957749,-28.14114899,-41.05886442,-27.20636142
isolation_distance,-0.002335699,-0.000434,0.000653173,0.000191339,0.002095795
L_ratio,-20.39130924,-23.60977015,-1.347196606,5.156485787,-2.732538925
D_prime,0.255821921,0.28270848,0.102619459,0.16377276,0.101284445
nearest_neighbor_hit_rate,0.607889391,0.987631515,1.677244076,3.292487678,-0.481285562
nearest_neighbor_miss_rate,-13.06060899,6.489106056,3.119626688,11.72913271,2.944789099
silhouette_score,-4.924121968,-1.695229388,-4.415939721,-5.198253968,-1.013889901
max_drift,0.012415577,0.017022136,0.010305768,0.025225209,0.035076996
cumulative_drift,-0.003855194,-0.00494032,-0.014328414,-0.001863545,-0.003234237
SNR,0.496161423,0.306704037,0.235142789,-0.085866086,0.138578612
amplitude,-0.007027565,-0.004101931,0.00308338,0.007634807,0.001140647
drift_metric,-2.912557728,-4.421391242,-3.03717929,-3.845482144,-3.689688348
intercept,-22.52489728,-17.98342637,-24.7870238,-24.27758354,-11.14450486
